vowel,F3,F2,F1
i,3455.746006197694,2741.9126132233177,451.15199455750013
i,3628.782833790393,2728.6751266194433,431.8841074906604
i,3638.2552806945464,2866.944364359559,426.7419846673213
i,3463.4756233485937,2697.0251875072395,426.8238048844899
i,3412.7948389860335,2496.871662224991,399.3105453595902
i,3277.198322569972,2621.1786638378326,443.86630421720673
i,3218.907140867124,2566.031474030663,469.02442560093596
i,3333.93411573797,2770.322268657168,405.86925213123595
i,3280.217072645054,2776.312863509447,411.85079033332266
i,3435.34268589308,2678.081828856709,430.6264915670169
i,3270.552265178124,3016.707003371459,436.7050856394761
i,3193.6699373780352,2874.552325115845,410.3245662481332
i,3407.214402117802,2490.467539398397,407.9791348315693
i,3405.1908043675344,2862.945311368366,440.74439694400087
i,3352.5016995893425,2719.4326348238988,404.6942945104717
i,3250.6342664646522,2697.408817669001,460.0981206428833
i,3429.9340436212424,2517.6123065521747,444.08123473127625
i,3307.075127521809,2667.550917857762,450.365126911173
i,3545.826519492817,2889.563220443991,418.6630971175853
i,3319.8667934314853,2806.730916705262,458.31566102762355
i,3291.211223499284,2735.36977827156,412.8265808179683
i,3170.319563179999,2873.169189781519,466.63384462427246
i,3359.859093501556,2899.537716553994,444.9017471472908
i,3263.232809373576,2810.8906633404367,470.6060989772814
i,3365.959729806062,2976.9990566851234,379.7585694756391
i,3510.5727622376626,2773.0168477702796,430.4666893923208
i,3387.4708669238858,2486.616111339347,432.2001692507504
i,3432.2091795568804,2965.0232728765664,425.6757957307208
i,3235.6879785522087,2691.732440133155,457.0015362717903
i,3427.427437088623,2687.8666038699603,448.21489341352685
i,3388.3672748200797,2894.7214409430653,421.66013989877985
i,3316.7561620836163,2706.869469460106,405.0221983833132
i,3421.9258787130875,2797.0386803244337,437.11172902763775
i,3332.4486093129503,2565.60806905994,427.8088996975769
i,3314.2183325135866,2650.2456229839554,433.4759072000977
i,3440.1229744589314,3021.3879636621136,440.8145252103757
i,3415.422995875858,2750.7227413284804,395.0748489457159
i,3367.529760599262,2769.314780482359,490.82184015780354
i,3339.5679413379025,2802.628610609155,436.2415478319404
i,3174.960882857347,2918.7666895437987,453.42973676420604
i,3505.3679862714575,2635.459061865586,467.65105569395377
i,3135.6479108132216,2842.0156217991275,484.86145542394803
i,3204.995575582966,2682.822598428337,439.17738232716493
i,3287.114004716009,2546.9309133413203,438.4981009995117
i,3192.8955938657787,2826.3794350491867,416.9105804819914
i,3633.3189406859574,2652.8718829929826,429.962955870906
i,3509.159002848526,2591.0791811162926,441.96999957110023
i,3592.3842683720172,2539.0869394688225,441.03424980893084
i,3415.816239110284,2868.9306474488576,409.9726269673139
i,3149.371015033991,2833.0540331334128,443.4891151101451
i,3414.2330945683148,2808.8271753210574,422.14145983351
i,3411.157973341345,2801.458654938883,421.39142151612384
i,3686.5695825790062,2826.4126347318725,410.97001858612214
i,3482.6949384156637,2626.445195425118,454.1977985917726
i,3567.3392146206484,2647.7048059515464,458.04976842398844
i,3441.5948642814938,2874.4854050872395,478.44492667098876
i,3330.627563641916,2656.9467225104486,417.5641097126823
i,3234.454385954827,2750.356109015383,444.4541706497437
i,3418.6500687670414,2875.192647529423,437.2840913375323
i,3617.065845408724,2724.4641241715003,496.4356962899832
i,3477.4875148331803,2642.669399336732,413.6009989173647
i,3453.344849210001,2730.1509624857663,452.6009107959122
i,3451.7878635030997,2750.945968607719,418.4975572602053
i,3116.5967579179633,2699.358610867148,455.7123136559679
i,3408.0962052603522,2589.0257615988103,440.78400322984834
i,3436.964510222282,2638.9834809324334,440.3588935649098
i,3381.8139899299954,2603.2129503844826,444.81765382361
i,3466.5482711456843,2910.515224120347,460.0255748369626
i,3139.7249445624343,2631.5332532397174,448.2535205885092
i,3458.6243113237983,2832.10233309455,521.1821830708056
i,3468.252140102868,2917.764836626932,457.84493853232647
i,3481.8245649701576,2717.4770807774003,453.58347746777787
i,3241.7016688289655,2728.307191339542,426.39480647993406
i,3385.803979900534,3080.538615129278,396.2002555418703
i,3487.703468097143,2538.3645739822687,426.6882887325009
i,3555.597070648698,2769.8738566361285,413.45127660224466
i,3251.399794618769,2854.818469240432,421.04148909698057
i,3408.494918203521,2767.2911924987216,422.7625324048129
i,3733.46897346025,2848.5125210310016,392.7506344815313
i,3403.4361974701255,2669.6403785387242,455.6256683652975
i,3238.3810035002466,2745.1606342554946,448.033972045723
i,3517.9663257370826,2595.29908100595,429.69114799687526
i,3291.924220538263,2670.807899443199,475.57517515014194
i,3440.2799164680173,2586.934970104047,457.05528354314686
i,3729.79553481633,2903.531829219086,403.8017662439048
i,3290.35813531475,2935.8970841452133,421.53742217622965
i,3446.827955585454,2867.93823107592,416.74656919601887
i,3361.9640249679805,2313.5430437034647,414.61713003684577
i,3329.417009675113,2588.7435317297527,472.66818699090624
i,3130.878163675837,2700.2518586114816,439.8566816137011
i,3614.998676536547,2562.7792300296783,462.41512798458587
i,3373.7252940879025,2625.50273072283,447.0969609126525
i,3405.561464673687,2678.140060108228,438.5251755570319
i,3307.036127569107,2776.671069511935,451.4675552382849
i,3639.4024352021065,2590.1195703869535,483.60677923623945
i,3042.877997000506,2740.046067630338,449.854730961688
i,3419.3752289001263,2675.036331288767,432.45252882969356
i,3288.8800424165206,2679.6381953038517,455.56380581990936
i,3432.192810933707,2665.343830374267,456.6562572782165
i,3423.8106992197963,2873.2156155057182,450.75739019603094
i,3232.2314411585385,2683.6670074008084,453.32836527194326
i,3474.908426752082,2758.1145349532494,439.56360332529687
i,3587.4143014299284,2679.3335697712137,448.9540777785653
i,3337.9103187996457,2730.9491098944823,461.0082742159201
i,3511.165196439382,2873.3050052498884,465.5247119363221
i,3375.5412476992833,2855.1436076872697,430.220671368433
i,3426.654447029551,2743.033751344541,439.1193618350909
i,3472.3434744886636,2648.0446346796193,482.7186619737273
i,3202.3854694791503,2593.3812620046538,462.3047225859765
i,3505.474330202151,2847.15974074405,450.7293493774245
i,3369.93519409801,2637.134034016381,438.65632959653294
i,3257.830535439058,2895.6152791983204,433.78679621417825
i,3232.8211726207824,2716.632684559804,446.0225522759224
i,3276.95604039725,2647.492474392054,442.3245655710983
i,3413.3013638889306,2691.0164946400155,426.70781302223963
i,3411.1236194384974,2561.0919566562943,406.24691652987224
i,3250.870304296839,2731.5336207061796,443.7933303083164
i,3620.7450581776943,2879.399910983039,433.50534312029913
i,3368.7938673476065,2622.6008212117504,436.59548797856627
i,3323.332153478065,2805.551297254673,418.92500388338175
i,3459.5618223010615,2972.594606940006,434.62359075621765
i,3439.7285963458817,2856.274378055719,428.23333268929446
i,3409.781992433236,2762.7383809279268,439.13422275329197
i,3241.6705504419683,2764.383629556447,447.8812626637131
i,3616.662812274244,2893.427337541063,484.0470366966275
i,3242.625200897075,2881.4238638992897,441.006022825383
i,3741.2007745404994,2649.4144217067214,418.65207774835005
i,3270.942399978138,2467.7961952590313,425.5122527762754
i,3244.0102332620463,2781.7618622230407,444.4673680707309
i,3688.3224034917985,2892.206010861584,424.3946551237765
